User ID,N_Touchpoints,Channel_Sequence,First_Touch_Channel,First_Touch_Campaign,Last_Touch_Channel,Last_Touch_Campaign,Converted,All_Campaigns
10466,3,Display Ads -> Social Media -> Direct Traffic,Display Ads,New Product Launch,Direct Traffic,-,TRUE,"New Product Launch, -"
10518,4,Social Media -> Social Media -> Referral -> Referral,Social Media,Winter Sale,Referral,-,TRUE,"Winter Sale, New Product Launch, -"
10556,4,Referral -> Direct Traffic -> Display Ads -> Direct Traffic,Referral,-,Direct Traffic,-,TRUE,"New Product Launch, -"
10566,1,Direct Traffic,Direct Traffic,-,Direct Traffic,-,TRUE,-
10614,2,Search Ads -> Social Media,Search Ads,Winter Sale,Social Media,Brand Awareness,FALSE,"Winter Sale, Brand Awareness"
10654,10,Referral -> Search Ads -> Search Ads -> Email -> Display Ads -> Search Ads -> Direct Traffic -> Email -> Display Ads -> Social Media,Referral,Winter Sale,Social Media,New Product Launch,TRUE,"New Product Launch, Retargeting, Discount Offer, -, Winter Sale"
10665,2,Referral -> Referral,Referral,Winter Sale,Referral,Retargeting,TRUE,"Winter Sale, Retargeting"
10668,7,Direct Traffic -> Direct Traffic -> Direct Traffic -> Referral -> Search Ads -> Direct Traffic -> Display Ads,Direct Traffic,-,Display Ads,Brand Awareness,TRUE,"New Product Launch, -, Brand Awareness, Retargeting"
10673,4,Display Ads -> Direct Traffic -> Referral -> Referral,Display Ads,Retargeting,Referral,New Product Launch,TRUE,"New Product Launch, -, Retargeting"
10685,6,Display Ads -> Referral -> Search Ads -> Email -> Email -> Display Ads,Display Ads,Brand Awareness,Display Ads,-,TRUE,"New Product Launch, -, Brand Awareness, Discount Offer"
10690,5,Display Ads -> Display Ads -> Display Ads -> Email -> Search Ads,Display Ads,-,Search Ads,New Product Launch,TRUE,"New Product Launch, -, Discount Offer"
10698,3,Referral -> Search Ads -> Display Ads,Referral,New Product Launch,Display Ads,Brand Awareness,FALSE,"New Product Launch, Brand Awareness, Retargeting"
10766,1,Social Media,Social Media,Brand Awareness,Social Media,Brand Awareness,TRUE,Brand Awareness
10781,2,Display Ads -> Direct Traffic,Display Ads,Winter Sale,Direct Traffic,-,FALSE,"Winter Sale, -"
10843,2,Email -> Referral,Email,Winter Sale,Referral,Brand Awareness,TRUE,"Winter Sale, Brand Awareness"
10919,2,Direct Traffic -> Referral,Direct Traffic,-,Referral,Brand Awareness,FALSE,"-, Brand Awareness"
10925,6,Email -> Search Ads -> Display Ads -> Referral -> Referral -> Search Ads,Email,Brand Awareness,Search Ads,-,TRUE,"Retargeting, Brand Awareness, Discount Offer, -, Winter Sale"
11007,1,Referral,Referral,Retargeting,Referral,Retargeting,FALSE,Retargeting
11058,3,Search Ads -> Email -> Referral,Search Ads,Brand Awareness,Referral,Brand Awareness,TRUE,"Winter Sale, Brand Awareness"
11107,2,Referral -> Social Media,Referral,-,Social Media,Brand Awareness,TRUE,"-, Brand Awareness"
11177,3,Display Ads -> Search Ads -> Search Ads,Display Ads,New Product Launch,Search Ads,New Product Launch,TRUE,"New Product Launch, -"
11186,2,Social Media -> Social Media,Social Media,Winter Sale,Social Media,Discount Offer,TRUE,"Winter Sale, Discount Offer"
11209,3,Email -> Direct Traffic -> Direct Traffic,Email,Winter Sale,Direct Traffic,-,FALSE,"Winter Sale, -"
11233,4,Email -> Referral -> Referral -> Email,Email,Discount Offer,Email,Winter Sale,TRUE,"Winter Sale, New Product Launch, Brand Awareness, Discount Offer"
11257,4,Email -> Display Ads -> Social Media -> Email,Email,Brand Awareness,Email,-,TRUE,"-, Retargeting, Brand Awareness"
11284,4,Display Ads -> Social Media -> Email -> Social Media,Display Ads,Retargeting,Social Media,-,FALSE,"New Product Launch, -, Retargeting, Discount Offer"
11295,5,Social Media -> Social Media -> Social Media -> Referral -> Referral,Social Media,Brand Awareness,Referral,-,TRUE,"-, Brand Awareness, Discount Offer"
11365,2,Referral -> Display Ads,Referral,Winter Sale,Display Ads,Retargeting,TRUE,"Winter Sale, Retargeting"
11396,1,Social Media,Social Media,Brand Awareness,Social Media,Brand Awareness,TRUE,Brand Awareness
11416,7,Referral -> Social Media -> Direct Traffic -> Direct Traffic -> Display Ads -> Referral -> Email,Referral,Discount Offer,Email,Winter Sale,TRUE,"Winter Sale, -, Brand Awareness, Discount Offer"
11453,5,Referral -> Display Ads -> Email -> Referral -> Search Ads,Referral,Winter Sale,Search Ads,Winter Sale,TRUE,"Winter Sale, New Product Launch"
11503,4,Email -> Search Ads -> Direct Traffic -> Social Media,Email,New Product Launch,Social Media,Winter Sale,TRUE,"Winter Sale, New Product Launch, -"
11511,5,Referral -> Display Ads -> Email -> Referral -> Display Ads,Referral,-,Display Ads,Retargeting,TRUE,"-, Retargeting, Discount Offer"
11611,4,Referral -> Direct Traffic -> Referral -> Direct Traffic,Referral,-,Direct Traffic,-,TRUE,"-, Brand Awareness"
11661,6,Search Ads -> Display Ads -> Direct Traffic -> Search Ads -> Social Media -> Display Ads,Search Ads,Retargeting,Display Ads,Brand Awareness,TRUE,"New Product Launch, Retargeting, Brand Awareness, -, Winter Sale"
11686,6,Email -> Direct Traffic -> Social Media -> Display Ads -> Search Ads -> Referral,Email,Winter Sale,Referral,Brand Awareness,TRUE,"Retargeting, Brand Awareness, Discount Offer, -, Winter Sale"
11741,4,Referral -> Display Ads -> Display Ads -> Referral,Referral,Brand Awareness,Referral,Discount Offer,TRUE,"Retargeting, Brand Awareness, Discount Offer"
11780,6,Email -> Display Ads -> Referral -> Display Ads -> Email -> Direct Traffic,Email,New Product Launch,Direct Traffic,-,TRUE,"Winter Sale, New Product Launch, -, Brand Awareness"
11784,5,Display Ads -> Search Ads -> Search Ads -> Referral -> Social Media,Display Ads,New Product Launch,Social Media,Winter Sale,TRUE,"Winter Sale, New Product Launch, -"
11790,5,Referral -> Search Ads -> Social Media -> Referral -> Email,Referral,-,Email,-,TRUE,"-, Brand Awareness, Retargeting, Discount Offer"
11798,3,Direct Traffic -> Search Ads -> Email,Direct Traffic,-,Email,Retargeting,TRUE,"New Product Launch, -, Retargeting"
11801,4,Search Ads -> Social Media -> Search Ads -> Direct Traffic,Search Ads,New Product Launch,Direct Traffic,-,TRUE,"Winter Sale, New Product Launch, -, Brand Awareness"
11831,6,Search Ads -> Social Media -> Social Media -> Email -> Direct Traffic -> Referral,Search Ads,Winter Sale,Referral,Brand Awareness,TRUE,"New Product Launch, Brand Awareness, Discount Offer, -, Winter Sale"
11835,2,Referral -> Social Media,Referral,Brand Awareness,Social Media,Discount Offer,TRUE,"Brand Awareness, Discount Offer"
11894,3,Direct Traffic -> Display Ads -> Referral,Direct Traffic,-,Referral,Brand Awareness,TRUE,"-, Brand Awareness, Discount Offer"
11914,4,Display Ads -> Search Ads -> Email -> Email,Display Ads,Brand Awareness,Email,Winter Sale,TRUE,"Winter Sale, Brand Awareness, Discount Offer"
11917,6,Social Media -> Search Ads -> Direct Traffic -> Direct Traffic -> Email -> Display Ads,Social Media,Retargeting,Display Ads,New Product Launch,TRUE,"Winter Sale, New Product Launch, -, Retargeting"
12077,2,Email -> Social Media,Email,Discount Offer,Social Media,-,FALSE,"-, Discount Offer"
12121,5,Search Ads -> Social Media -> Search Ads -> Search Ads -> Email,Search Ads,Retargeting,Email,Winter Sale,TRUE,"Winter Sale, -, Retargeting"
12217,4,Email -> Social Media -> Referral -> Display Ads,Email,New Product Launch,Display Ads,-,TRUE,"New Product Launch, -, Retargeting"
12225,1,Email,Email,Brand Awareness,Email,Brand Awareness,TRUE,Brand Awareness
12248,1,Referral,Referral,New Product Launch,Referral,New Product Launch,FALSE,New Product Launch
12269,3,Display Ads -> Social Media -> Social Media,Display Ads,Discount Offer,Social Media,Winter Sale,FALSE,"Winter Sale, Discount Offer"
12275,8,Email -> Direct Traffic -> Search Ads -> Direct Traffic -> Display Ads -> Email -> Search Ads -> Search Ads,Email,Discount Offer,Search Ads,Discount Offer,TRUE,"Winter Sale, -, Retargeting, Discount Offer"
12350,3,Direct Traffic -> Direct Traffic -> Display Ads,Direct Traffic,-,Display Ads,Brand Awareness,TRUE,"-, Brand Awareness"
12397,2,Display Ads -> Direct Traffic,Display Ads,Discount Offer,Direct Traffic,-,FALSE,"-, Discount Offer"
12410,2,Social Media -> Direct Traffic,Social Media,Retargeting,Direct Traffic,-,FALSE,"-, Retargeting"
12432,2,Search Ads -> Direct Traffic,Search Ads,Discount Offer,Direct Traffic,-,FALSE,"-, Discount Offer"
12459,6,Referral -> Social Media -> Social Media -> Social Media -> Direct Traffic -> Referral,Referral,New Product Launch,Referral,Brand Awareness,TRUE,"New Product Launch, -, Brand Awareness"
12509,4,Display Ads -> Referral -> Social Media -> Email,Display Ads,Retargeting,Email,Discount Offer,TRUE,"Winter Sale, Retargeting, Discount Offer"
12641,4,Display Ads -> Social Media -> Direct Traffic -> Referral,Display Ads,Winter Sale,Referral,Brand Awareness,TRUE,"Winter Sale, -, Brand Awareness, Retargeting"
12663,4,Search Ads -> Display Ads -> Referral -> Direct Traffic,Search Ads,Winter Sale,Direct Traffic,-,TRUE,"Winter Sale, New Product Launch, -, Discount Offer"
12712,2,Referral -> Direct Traffic,Referral,Winter Sale,Direct Traffic,-,TRUE,"Winter Sale, -"
12731,3,Search Ads -> Search Ads -> Search Ads,Search Ads,Winter Sale,Search Ads,Brand Awareness,TRUE,"Winter Sale, Brand Awareness"
12755,2,Referral -> Email,Referral,Brand Awareness,Email,Discount Offer,FALSE,"Brand Awareness, Discount Offer"
12756,3,Email -> Referral -> Direct Traffic,Email,Discount Offer,Direct Traffic,-,FALSE,"New Product Launch, -, Discount Offer"
12797,2,Search Ads -> Social Media,Search Ads,Brand Awareness,Social Media,-,TRUE,"-, Brand Awareness"
12806,2,Search Ads -> Social Media,Search Ads,New Product Launch,Social Media,New Product Launch,TRUE,New Product Launch
12855,3,Search Ads -> Social Media -> Referral,Search Ads,-,Referral,Winter Sale,TRUE,"Winter Sale, -"
12863,3,Email -> Search Ads -> Email,Email,Winter Sale,Email,Winter Sale,TRUE,"Winter Sale, New Product Launch"
12877,5,Display Ads -> Direct Traffic -> Email -> Email -> Search Ads,Display Ads,Winter Sale,Search Ads,Brand Awareness,TRUE,"Winter Sale, -, Retargeting, Brand Awareness"
13004,6,Referral -> Social Media -> Email -> Referral -> Social Media -> Email,Referral,New Product Launch,Email,-,TRUE,"Winter Sale, New Product Launch, -, Retargeting"
13035,6,Social Media -> Email -> Search Ads -> Referral -> Search Ads -> Direct Traffic,Social Media,Winter Sale,Direct Traffic,-,TRUE,"Winter Sale, -, Brand Awareness, Retargeting"
13090,4,Email -> Social Media -> Social Media -> Referral,Email,New Product Launch,Referral,Discount Offer,TRUE,"New Product Launch, Retargeting, Brand Awareness, Discount Offer"
13102,2,Referral -> Search Ads,Referral,Winter Sale,Search Ads,New Product Launch,TRUE,"Winter Sale, New Product Launch"
13116,3,Direct Traffic -> Display Ads -> Referral,Direct Traffic,-,Referral,Winter Sale,TRUE,"Winter Sale, -, Discount Offer"
13125,3,Social Media -> Direct Traffic -> Search Ads,Social Media,-,Search Ads,Retargeting,TRUE,"-, Retargeting"
13139,2,Social Media -> Referral,Social Media,Discount Offer,Referral,Brand Awareness,FALSE,"Brand Awareness, Discount Offer"
13184,4,Display Ads -> Search Ads -> Search Ads -> Email,Display Ads,Winter Sale,Email,-,TRUE,"Winter Sale, -, Brand Awareness"
13186,12,Email -> Direct Traffic -> Social Media -> Display Ads -> Email -> Referral -> Display Ads -> Display Ads -> Display Ads -> Direct Traffic -> Email -> Referral,Email,Discount Offer,Referral,Retargeting,TRUE,"New Product Launch, Retargeting, Brand Awareness, Discount Offer, -, Winter Sale"
13191,5,Display Ads -> Referral -> Direct Traffic -> Social Media -> Referral,Display Ads,Winter Sale,Referral,-,TRUE,"Winter Sale, -"
13230,5,Display Ads -> Email -> Social Media -> Display Ads -> Referral,Display Ads,Retargeting,Referral,Discount Offer,TRUE,"Winter Sale, -, Retargeting, Discount Offer"
13364,2,Display Ads -> Referral,Display Ads,Brand Awareness,Referral,Winter Sale,TRUE,"Winter Sale, Brand Awareness"
13399,2,Display Ads -> Referral,Display Ads,-,Referral,-,TRUE,-
13403,2,Search Ads -> Display Ads,Search Ads,Winter Sale,Display Ads,Brand Awareness,TRUE,"Winter Sale, Brand Awareness"
13426,5,Referral -> Direct Traffic -> Email -> Social Media -> Direct Traffic,Referral,New Product Launch,Direct Traffic,-,TRUE,"Winter Sale, New Product Launch, -"
13428,6,Referral -> Display Ads -> Social Media -> Social Media -> Search Ads -> Search Ads,Referral,New Product Launch,Search Ads,New Product Launch,TRUE,"New Product Launch, -, Retargeting, Discount Offer"
13438,3,Email -> Search Ads -> Referral,Email,Retargeting,Referral,Winter Sale,TRUE,"Winter Sale, Brand Awareness, Retargeting"
13444,3,Referral -> Social Media -> Direct Traffic,Referral,Discount Offer,Direct Traffic,-,TRUE,"-, Retargeting, Discount Offer"
13460,1,Search Ads,Search Ads,Winter Sale,Search Ads,Winter Sale,TRUE,Winter Sale
13465,1,Display Ads,Display Ads,New Product Launch,Display Ads,New Product Launch,TRUE,New Product Launch
13471,6,Display Ads -> Search Ads -> Referral -> Social Media -> Referral -> Search Ads,Display Ads,Retargeting,Search Ads,Retargeting,TRUE,"Winter Sale, Retargeting, Discount Offer"
13480,3,Search Ads -> Display Ads -> Social Media,Search Ads,Discount Offer,Social Media,New Product Launch,TRUE,"Winter Sale, New Product Launch, Discount Offer"
13528,4,Direct Traffic -> Social Media -> Social Media -> Email,Direct Traffic,-,Email,Discount Offer,TRUE,"-, Discount Offer"
13534,2,Email -> Search Ads,Email,-,Search Ads,New Product Launch,TRUE,"New Product Launch, -"
13558,2,Direct Traffic -> Social Media,Direct Traffic,-,Social Media,Discount Offer,FALSE,"-, Discount Offer"
13584,3,Email -> Display Ads -> Email,Email,Brand Awareness,Email,Retargeting,TRUE,"Retargeting, Brand Awareness"
13687,3,Social Media -> Social Media -> Direct Traffic,Social Media,-,Direct Traffic,-,TRUE,"New Product Launch, -"
13737,3,Direct Traffic -> Search Ads -> Display Ads,Direct Traffic,-,Display Ads,Winter Sale,TRUE,"Winter Sale, -"
13771,5,Display Ads -> Social Media -> Direct Traffic -> Email -> Direct Traffic,Display Ads,Discount Offer,Direct Traffic,-,TRUE,"-, Retargeting, Brand Awareness, Discount Offer"
13775,4,Search Ads -> Direct Traffic -> Search Ads -> Direct Traffic,Search Ads,Retargeting,Direct Traffic,-,TRUE,"-, Brand Awareness, Retargeting"
13806,3,Search Ads -> Referral -> Search Ads,Search Ads,-,Search Ads,New Product Launch,TRUE,"New Product Launch, -, Discount Offer"
13864,1,Direct Traffic,Direct Traffic,-,Direct Traffic,-,FALSE,-
13872,4,Search Ads -> Referral -> Search Ads -> Direct Traffic,Search Ads,-,Direct Traffic,-,FALSE,"-, Brand Awareness, Discount Offer"
13967,6,Social Media -> Social Media -> Display Ads -> Email -> Social Media -> Social Media,Social Media,Winter Sale,Social Media,-,TRUE,"Winter Sale, -, Brand Awareness, Discount Offer"
13980,1,Search Ads,Search Ads,-,Search Ads,-,TRUE,-
14036,2,Direct Traffic -> Referral,Direct Traffic,-,Referral,-,TRUE,-
14049,4,Search Ads -> Display Ads -> Social Media -> Search Ads,Search Ads,Brand Awareness,Search Ads,New Product Launch,TRUE,"New Product Launch, -, Brand Awareness"
14080,5,Direct Traffic -> Direct Traffic -> Search Ads -> Direct Traffic -> Search Ads,Direct Traffic,-,Search Ads,Winter Sale,TRUE,"Winter Sale, -"
14172,1,Email,Email,Winter Sale,Email,Winter Sale,FALSE,Winter Sale
14212,4,Direct Traffic -> Direct Traffic -> Referral -> Direct Traffic,Direct Traffic,-,Direct Traffic,-,TRUE,"-, Discount Offer"
14377,2,Search Ads -> Email,Search Ads,Discount Offer,Email,Retargeting,TRUE,"Retargeting, Discount Offer"
14386,4,Referral -> Direct Traffic -> Social Media -> Direct Traffic,Referral,Discount Offer,Direct Traffic,-,TRUE,"-, Discount Offer"
14396,3,Social Media -> Social Media -> Display Ads,Social Media,Discount Offer,Display Ads,Retargeting,TRUE,"Retargeting, Brand Awareness, Discount Offer"
14398,8,Direct Traffic -> Direct Traffic -> Email -> Direct Traffic -> Direct Traffic -> Referral -> Social Media -> Referral,Direct Traffic,-,Referral,Discount Offer,TRUE,"New Product Launch, -, Discount Offer"
14476,2,Direct Traffic -> Display Ads,Direct Traffic,-,Display Ads,Winter Sale,TRUE,"Winter Sale, -"
14668,2,Search Ads -> Email,Search Ads,Discount Offer,Email,Discount Offer,TRUE,Discount Offer
14782,3,Display Ads -> Direct Traffic -> Social Media,Display Ads,Discount Offer,Social Media,Discount Offer,TRUE,"-, Discount Offer"
14798,4,Display Ads -> Referral -> Direct Traffic -> Email,Display Ads,New Product Launch,Email,-,TRUE,"Winter Sale, New Product Launch, -"
14916,4,Search Ads -> Direct Traffic -> Direct Traffic -> Search Ads,Search Ads,New Product Launch,Search Ads,New Product Launch,TRUE,"New Product Launch, -"
14978,5,Social Media -> Display Ads -> Search Ads -> Social Media -> Search Ads,Social Media,Winter Sale,Search Ads,-,TRUE,"Winter Sale, -, Brand Awareness, Discount Offer"
14987,1,Display Ads,Display Ads,New Product Launch,Display Ads,New Product Launch,TRUE,New Product Launch
15025,3,Referral -> Display Ads -> Referral,Referral,Retargeting,Referral,Discount Offer,TRUE,"Brand Awareness, Retargeting, Discount Offer"
15052,4,Direct Traffic -> Direct Traffic -> Email -> Social Media,Direct Traffic,-,Social Media,Retargeting,TRUE,"Winter Sale, -, Retargeting"
15082,4,Social Media -> Display Ads -> Referral -> Direct Traffic,Social Media,Retargeting,Direct Traffic,-,TRUE,"New Product Launch, -, Retargeting"
15105,2,Social Media -> Referral,Social Media,-,Referral,Retargeting,TRUE,"-, Retargeting"
15145,3,Display Ads -> Referral -> Display Ads,Display Ads,Brand Awareness,Display Ads,-,TRUE,"-, Brand Awareness, Discount Offer"
15152,6,Search Ads -> Display Ads -> Direct Traffic -> Referral -> Display Ads -> Display Ads,Search Ads,Winter Sale,Display Ads,New Product Launch,TRUE,"Winter Sale, New Product Launch, -, Brand Awareness"
15176,6,Direct Traffic -> Display Ads -> Display Ads -> Referral -> Referral -> Display Ads,Direct Traffic,-,Display Ads,Brand Awareness,TRUE,"New Product Launch, Brand Awareness, Discount Offer, -, Winter Sale"
15190,4,Direct Traffic -> Referral -> Email -> Search Ads,Direct Traffic,-,Search Ads,Discount Offer,TRUE,"Winter Sale, -, Brand Awareness, Discount Offer"
15208,3,Search Ads -> Search Ads -> Search Ads,Search Ads,Winter Sale,Search Ads,New Product Launch,TRUE,"Winter Sale, New Product Launch, Brand Awareness"
15233,4,Search Ads -> Display Ads -> Direct Traffic -> Display Ads,Search Ads,-,Display Ads,New Product Launch,TRUE,"New Product Launch, -"
15239,3,Search Ads -> Email -> Social Media,Search Ads,Discount Offer,Social Media,Winter Sale,TRUE,"Winter Sale, Discount Offer"
15241,3,Display Ads -> Direct Traffic -> Social Media,Display Ads,-,Social Media,Retargeting,FALSE,"-, Retargeting"
15259,3,Referral -> Direct Traffic -> Search Ads,Referral,-,Search Ads,New Product Launch,TRUE,"New Product Launch, -"
15277,3,Search Ads -> Email -> Social Media,Search Ads,Retargeting,Social Media,Winter Sale,TRUE,"Winter Sale, New Product Launch, Retargeting"
15351,6,Display Ads -> Referral -> Email -> Social Media -> Search Ads -> Referral,Display Ads,Winter Sale,Referral,Winter Sale,TRUE,"Retargeting, Brand Awareness, Discount Offer, -, Winter Sale"
15390,4,Direct Traffic -> Direct Traffic -> Search Ads -> Referral,Direct Traffic,-,Referral,Retargeting,FALSE,"Winter Sale, -, Retargeting"
15395,3,Direct Traffic -> Social Media -> Referral,Direct Traffic,-,Referral,Brand Awareness,TRUE,"-, Brand Awareness, Retargeting"
15418,4,Direct Traffic -> Email -> Direct Traffic -> Direct Traffic,Direct Traffic,-,Direct Traffic,-,TRUE,"New Product Launch, -"
15491,2,Social Media -> Referral,Social Media,Retargeting,Referral,Brand Awareness,TRUE,"Brand Awareness, Retargeting"
15535,4,Social Media -> Referral -> Display Ads -> Email,Social Media,Retargeting,Email,Discount Offer,TRUE,"New Product Launch, Retargeting, Discount Offer"
15555,2,Display Ads -> Social Media,Display Ads,New Product Launch,Social Media,New Product Launch,TRUE,New Product Launch
15578,3,Search Ads -> Search Ads -> Direct Traffic,Search Ads,Brand Awareness,Direct Traffic,-,FALSE,"New Product Launch, -, Brand Awareness"
15582,5,Email -> Email -> Search Ads -> Referral -> Direct Traffic,Email,New Product Launch,Direct Traffic,-,TRUE,"New Product Launch, Brand Awareness, Discount Offer, -, Winter Sale"
15596,6,Email -> Social Media -> Display Ads -> Email -> Direct Traffic -> Social Media,Email,-,Social Media,Winter Sale,TRUE,"Winter Sale, -, Brand Awareness, Discount Offer"
15632,1,Email,Email,New Product Launch,Email,New Product Launch,FALSE,New Product Launch
15640,3,Display Ads -> Referral -> Email,Display Ads,Brand Awareness,Email,Winter Sale,TRUE,"Winter Sale, Brand Awareness"
15891,3,Referral -> Search Ads -> Direct Traffic,Referral,-,Direct Traffic,-,TRUE,"Winter Sale, -"
15921,4,Social Media -> Search Ads -> Display Ads -> Search Ads,Social Media,Retargeting,Search Ads,New Product Launch,TRUE,"Winter Sale, New Product Launch, -, Retargeting"
15924,6,Search Ads -> Social Media -> Social Media -> Referral -> Search Ads -> Social Media,Search Ads,Winter Sale,Social Media,Discount Offer,TRUE,"New Product Launch, Brand Awareness, Discount Offer, -, Winter Sale"
15937,1,Display Ads,Display Ads,Winter Sale,Display Ads,Winter Sale,TRUE,Winter Sale
15978,5,Referral -> Search Ads -> Email -> Social Media -> Display Ads,Referral,Brand Awareness,Display Ads,Brand Awareness,TRUE,"Winter Sale, New Product Launch, Brand Awareness"
16004,4,Display Ads -> Social Media -> Display Ads -> Email,Display Ads,New Product Launch,Email,Discount Offer,TRUE,"New Product Launch, Brand Awareness, Discount Offer"
16008,4,Display Ads -> Referral -> Display Ads -> Email,Display Ads,Retargeting,Email,-,TRUE,"-, Retargeting"
16062,3,Email -> Email -> Search Ads,Email,Retargeting,Search Ads,New Product Launch,FALSE,"New Product Launch, Brand Awareness, Retargeting"
16075,3,Social Media -> Direct Traffic -> Search Ads,Social Media,New Product Launch,Search Ads,-,TRUE,"New Product Launch, -"
16083,4,Email -> Display Ads -> Email -> Email,Email,-,Email,Brand Awareness,TRUE,"-, Brand Awareness, Discount Offer"
16248,2,Direct Traffic -> Direct Traffic,Direct Traffic,-,Direct Traffic,-,TRUE,-
16255,3,Direct Traffic -> Social Media -> Email,Direct Traffic,-,Email,-,TRUE,"-, Retargeting"
16270,2,Search Ads -> Email,Search Ads,Retargeting,Email,Brand Awareness,TRUE,"Brand Awareness, Retargeting"
16302,2,Search Ads -> Search Ads,Search Ads,-,Search Ads,Discount Offer,TRUE,"-, Discount Offer"
16304,2,Display Ads -> Referral,Display Ads,Discount Offer,Referral,Discount Offer,TRUE,Discount Offer
16311,2,Email -> Social Media,Email,Winter Sale,Social Media,-,TRUE,"Winter Sale, -"
16337,3,Referral -> Direct Traffic -> Display Ads,Referral,New Product Launch,Display Ads,New Product Launch,TRUE,"New Product Launch, -"
16348,4,Referral -> Direct Traffic -> Email -> Direct Traffic,Referral,Retargeting,Direct Traffic,-,TRUE,"-, Retargeting"
16386,1,Display Ads,Display Ads,Retargeting,Display Ads,Retargeting,TRUE,Retargeting
16416,1,Search Ads,Search Ads,Discount Offer,Search Ads,Discount Offer,FALSE,Discount Offer
16536,4,Search Ads -> Display Ads -> Social Media -> Search Ads,Search Ads,-,Search Ads,New Product Launch,TRUE,"New Product Launch, -, Retargeting, Discount Offer"
16561,3,Social Media -> Search Ads -> Email,Social Media,Discount Offer,Email,Brand Awareness,FALSE,"New Product Launch, Brand Awareness, Discount Offer"
16566,1,Direct Traffic,Direct Traffic,-,Direct Traffic,-,TRUE,-
16621,2,Display Ads -> Search Ads,Display Ads,Retargeting,Search Ads,-,TRUE,"-, Retargeting"
16659,1,Social Media,Social Media,-,Social Media,-,FALSE,-
16713,4,Email -> Social Media -> Direct Traffic -> Email,Email,New Product Launch,Email,New Product Launch,TRUE,"New Product Launch, -, Discount Offer"
16756,4,Display Ads -> Direct Traffic -> Direct Traffic -> Search Ads,Display Ads,Retargeting,Search Ads,Brand Awareness,TRUE,"-, Brand Awareness, Retargeting"
16758,3,Display Ads -> Display Ads -> Direct Traffic,Display Ads,New Product Launch,Direct Traffic,-,FALSE,"New Product Launch, -, Discount Offer"
16785,3,Direct Traffic -> Display Ads -> Email,Direct Traffic,-,Email,Winter Sale,TRUE,"Winter Sale, -"
